Item,Category,Effect,Cost,Image
Ability Urge,Battle Items,"When used, it activates the Ability of an ally Pokémon.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ability-urge.png
Dire Hit,Battle Items,Raises critical-hit ratio of a Pokémon in battle.,650,https://cdn.bulbagarden.net/upload/d/d3/Dream_Dire_Hit_Sprite.png
Dire Hit 2,Battle Items,It can be used many times to raise the critical-hit ratio of one Pokémon. It wears off if the Pokémon is withdrawn.,Cannot be purchased,https://cdn.bulbagarden.net/upload/d/d3/Dream_Dire_Hit_Sprite.png
Dire Hit 3,Battle Items,It can be used many times to greatly raise a Pokémon's critical-hit ratio. It wears off if the Pokémon is withdrawn.,Cannot be purchased,https://cdn.bulbagarden.net/upload/d/d3/Dream_Dire_Hit_Sprite.png
Guard Spec,Battle Items,Prevents stat reduction for five turns.,700,https://cdn.bulbagarden.net/upload/e/e0/Dream_Guard_Spec._Sprite.png
Item Drop,Battle Items,"When used, it causes an ally Pokémon to drop a held item.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/item-drop.png
Item Urge,Battle Items,"When used, it causes an ally Pokémon to use its held item.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/item-urge.png
Reset Urge,Battle Items,"When used, it restores any stat changes of an ally Pokémon.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/reset-urge.png
X Accuracy,Battle Items,Raises Accuracy of a Pokémon in battle.,950,https://cdn.bulbagarden.net/upload/1/18/Dream_X_Accuracy_Sprite.png
X Accuracy 2,Battle Items,Sharply raises Accuracy of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/1/18/Dream_X_Accuracy_Sprite.png
X Accuracy 3,Battle Items,Drastically raises Accuracy of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/1/18/Dream_X_Accuracy_Sprite.png
X Accuracy 6,Battle Items,Immensely raises Accuracy of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/1/18/Dream_X_Accuracy_Sprite.png
X Attack,Battle Items,Raises Attack of a Pokémon in battle.,500,https://cdn.bulbagarden.net/upload/d/df/Dream_X_Attack_Sprite.png
X Attack 2,Battle Items,Sharply raises Attack of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/d/df/Dream_X_Attack_Sprite.png
X Attack 3,Battle Items,Drastically raises Attack of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/d/df/Dream_X_Attack_Sprite.png
X Attack 6,Battle Items,Immensely raises Attack of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/d/df/Dream_X_Attack_Sprite.png
X Defend,Battle Items,Raises Defense of a Pokémon in battle.,550,https://cdn.bulbagarden.net/upload/8/80/Dream_X_Defend_Sprite.png
X Defend 2,Battle Items,Sharply raises Defense of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/8/80/Dream_X_Defend_Sprite.png
X Defend 3,Battle Items,Drastically raises Defense of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/8/80/Dream_X_Defend_Sprite.png
X Defend 6,Battle Items,Immensely raises Defense of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/8/80/Dream_X_Defend_Sprite.png
X Sp. Def,Battle Items,Raises Special Defense of a Pokémon in battle.,350,https://cdn.bulbagarden.net/upload/2/25/Dream_X_Sp._Def_Sprite.png
X Sp. Def 2,Battle Items,Sharply raises Special Defense of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/2/25/Dream_X_Sp._Def_Sprite.png
X Sp. Def 3,Battle Items,Drastically raises Special Defense of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/2/25/Dream_X_Sp._Def_Sprite.png
X Sp. Def 6,Battle Items,Immensely raises Special Defense of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/2/25/Dream_X_Sp._Def_Sprite.png
X Special Attack,Battle Items,Raises Special Attack of a Pokémon in battle.,350,https://cdn.bulbagarden.net/upload/e/e6/Dream_X_Sp._Atk_Sprite.png
X Special Attack 2,Battle Items,Sharply raises Special Attack of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/e/e6/Dream_X_Sp._Atk_Sprite.png
X Special Attack 3,Battle Items,Drastically raises Special Attack of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/e/e6/Dream_X_Sp._Atk_Sprite.png
X Special Attack 6,Battle Items,Immensely raises Special Attack of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/e/e6/Dream_X_Sp._Atk_Sprite.png
X Speed,Battle Items,Raises Speed of a Pokémon in battle.,350,https://cdn.bulbagarden.net/upload/b/ba/Dream_X_Speed_Sprite.png
X Speed 2,Battle Items,Sharply raises Speed of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/b/ba/Dream_X_Speed_Sprite.png
X Speed 3,Battle Items,Drastically raises Speed of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/b/ba/Dream_X_Speed_Sprite.png
X Speed 6,Battle Items,Immensely raises Speed of a Pokémon in battle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/b/ba/Dream_X_Speed_Sprite.png
Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aguav-berry.png
Apicot Berry,Berries,Raises Special Defense when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/apicot-berry.png
Aspear Berry,Berries,"If held by a Pokémon, it defrosts it.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aspear-berry.png
