Pokemon,Generation,Color,Moves,Versions
bulbasaur-1,1,0x33FF00,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['7', 'Leech Seed', 'Grass', '--', '90'], ['13', 'Vine Whip', 'Grass', '45', '100'], ['20', 'Poison Powder', 'Poison', '--', '75'], ['27', 'Razor Leaf', 'Grass', '55', '95'], ['34', 'Growth', 'Normal', '--', '--'], ['41', 'Sleep Powder', 'Grass', '--', '75'], ['48', 'Solar Beam', 'Grass', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
ivysaur-1,1,0x33FF00,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Leech Seed', 'Grass', '--', '90'], ['1', 'Tackle', 'Normal', '40', '100'], ['7', 'Leech Seed', 'Grass', '--', '90'], ['13', 'Vine Whip', 'Grass', '45', '100'], ['22', 'Poison Powder', 'Poison', '--', '75'], ['30', 'Razor Leaf', 'Grass', '55', '95'], ['38', 'Growth', 'Normal', '--', '--'], ['46', 'Sleep Powder', 'Grass', '--', '75'], ['54', 'Solar Beam', 'Grass', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
venusaur-1,1,0x33FF00,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Leech Seed', 'Grass', '--', '90'], ['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Vine Whip', 'Grass', '45', '100'], ['7', 'Leech Seed', 'Grass', '--', '90'], ['13', 'Vine Whip', 'Grass', '45', '100'], ['22', 'Poison Powder', 'Poison', '--', '75'], ['30', 'Razor Leaf', 'Grass', '55', '95'], ['43', 'Growth', 'Normal', '--', '--'], ['55', 'Sleep Powder', 'Grass', '--', '75'], ['65', 'Solar Beam', 'Grass', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
charmander-1,1,0xFF6600,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['9', 'Ember', 'Fire', '40', '100'], ['15', 'Leer', 'Normal', '--', '100'], ['22', 'Rage', 'Normal', '20', '100'], ['30', 'Slash', 'Normal', '70', '100'], ['38', 'Flamethrower', 'Fire', '90', '100'], ['46', 'Fire Spin', 'Fire', '35', '85']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
charmeleon-1,1,0xFF6600,"[['1', 'Ember', 'Fire', '40', '100'], ['1', 'Growl', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['9', 'Ember', 'Fire', '40', '100'], ['15', 'Leer', 'Normal', '--', '100'], ['24', 'Rage', 'Normal', '20', '100'], ['33', 'Slash', 'Normal', '70', '100'], ['42', 'Flamethrower', 'Fire', '90', '100'], ['56', 'Fire Spin', 'Fire', '35', '85']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
charizard-1,1,0xFF6600,"[['1', 'Ember', 'Fire', '40', '100'], ['1', 'Growl', 'Normal', '--', '100'], ['1', 'Leer', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['9', 'Ember', 'Fire', '40', '100'], ['15', 'Leer', 'Normal', '--', '100'], ['24', 'Rage', 'Normal', '20', '100'], ['36', 'Slash', 'Normal', '70', '100'], ['46', 'Flamethrower', 'Fire', '90', '100'], ['55', 'Fire Spin', 'Fire', '35', '85']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
squirtle-1,1,0x3399FF,"[['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['8', 'Bubble', 'Water', '40', '100'], ['15', 'Water Gun', 'Water', '40', '100'], ['22', 'Bite', 'Dark', '60', '100'], ['28', 'Withdraw', 'Water', '--', '--'], ['35', 'Skull Bash', 'Normal', '130', '100'], ['42', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
wartortle-1,1,0x3399FF,"[['1', 'Bubble', 'Water', '40', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['8', 'Bubble', 'Water', '40', '100'], ['15', 'Water Gun', 'Water', '40', '100'], ['24', 'Bite', 'Dark', '60', '100'], ['31', 'Withdraw', 'Water', '--', '--'], ['39', 'Skull Bash', 'Normal', '130', '100'], ['47', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
blastoise-1,1,0x3399FF,"[['1', 'Bubble', 'Water', '40', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['1', 'Water Gun', 'Water', '40', '100'], ['8', 'Bubble', 'Water', '40', '100'], ['15', 'Water Gun', 'Water', '40', '100'], ['24', 'Bite', 'Dark', '60', '100'], ['31', 'Withdraw', 'Water', '--', '--'], ['42', 'Skull Bash', 'Normal', '130', '100'], ['52', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
caterpie-1,1,0x669900,"[['1', 'String Shot', 'Bug', '--', '95'], ['1', 'Tackle', 'Normal', '40', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
metapod-1,1,0x669900,"[['1', 'Harden', 'Normal', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
butterfree-1,1,0x669900,"[['1', 'Confusion', 'Psychic', '50', '100'], ['12', 'Confusion', 'Psychic', '50', '100'], ['15', 'Poison Powder', 'Poison', '--', '75'], ['16', 'Stun Spore', 'Grass', '--', '75'], ['17', 'Sleep Powder', 'Grass', '--', '75'], ['21', 'Supersonic', 'Normal', '--', '55'], ['26', 'Whirlwind', 'Normal', '--', '--'], ['32', 'Psybeam', 'Psychic', '65', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
weedle-1,1,0x669900,"[['1', 'Poison Sting', 'Poison', '15', '100'], ['1', 'String Shot', 'Bug', '--', '95']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
kakuna-1,1,0x669900,"[['1', 'Harden', 'Normal', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
beedrill-1,1,0x669900,"[['1', 'Fury Attack', 'Normal', '15', '85'], ['12', 'Fury Attack', 'Normal', '15', '85'], ['16', 'Focus Energy', 'Normal', '--', '--'], ['20', 'Twineedle', 'Bug', '25', '100'], ['25', 'Rage', 'Normal', '20', '100'], ['30', 'Pin Missile', 'Bug', '25', '95'], ['35', 'Agility', 'Psychic', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
pidgey-1,1,0x999966,"[['1', 'Gust', 'Flying', '40', '100'], ['5', 'Sand Attack', 'Ground', '--', '100'], ['12', 'Quick Attack', 'Normal', '40', '100'], ['19', 'Whirlwind', 'Normal', '--', '--'], ['28', 'Wing Attack', 'Flying', '60', '100'], ['36', 'Agility', 'Psychic', '--', '--'], ['44', 'Mirror Move', 'Flying', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
