ID,Pokemon,Japanese,Species,Stats,Types,Resistances,Weaknesses,Images,Description,Abilities,Evolution
#001,Bulbasaur,Fushigidane,Seed Pokémon,"['HP: 45', 'Attack: 49', 'Defense: 49', 'Sp.Atk: 65', 'Sp.Def: 65', 'Speed: 45', 'Total: 318']",Grass/Poison,"['Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Fairy 0.5x', 'Water 0.5x']","['Flying 2x', 'Psychic 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/250px-001Bulbasaur.png,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,"['Overgrow', 'Chlorophyll (Hidden Ability)']",
#002,Ivysaur,Fushigisou,Seed Pokémon,"['HP: 60', 'Attack: 62', 'Defense: 63', 'Sp.Atk: 80', 'Sp.Def: 80', 'Speed: 60', 'Total: 405']",Grass/Poison,"['Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Fairy 0.5x', 'Water 0.5x']","['Flying 2x', 'Psychic 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/7/73/002Ivysaur.png/250px-002Ivysaur.png,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","['Overgrow', 'Chlorophyll (Hidden Ability)']",
#003,Venusaur,Fushigibana,Seed Pokémon,"['HP: 80', 'Attack: 82', 'Defense: 83', 'Sp.Atk: 100', 'Sp.Def: 100', 'Speed: 80', 'Total: 525']",Grass/Poison,"['Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Fairy 0.5x', 'Water 0.5x']","['Flying 2x', 'Psychic 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/a/ae/003Venusaur.png/250px-003Venusaur.png,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"['Overgrow (Venusaur)', 'Chlorophyll (Hidden Ability)', 'Thick Fat (Mega Venusaur)']",
#004,Charmander,Hitokage,Lizard Pokémon,"['HP: 39', 'Attack: 52', 'Defense: 43', 'Sp.Atk: 60', 'Sp.Def: 50', 'Speed: 65', 'Total: 309']",Fire,"['Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x']","['Ground 2x', 'Rock 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/7/73/004Charmander.png/250px-004Charmander.png,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","['Blaze', 'Solar Power (Hidden Ability)']",
#005,Charmeleon,Lizardo,Flame Pokémon,"['HP: 58', 'Attack: 64', 'Defense: 58', 'Sp.Atk: 80', 'Sp.Def: 65', 'Speed: 80', 'Total: 405']",Fire,"['Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x']","['Ground 2x', 'Rock 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/4/4a/005Charmeleon.png/250px-005Charmeleon.png,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","['Blaze', 'Solar Power (Hidden Ability)']",
#006,Charizard,Lizardon,Flame Pokémon,"['HP: 78', 'Attack: 84', 'Defense: 78', 'Sp.Atk: 109', 'Sp.Def: 85', 'Speed: 100', 'Total: 534']",Fire/Flying,"['Fighting 0.5x', 'Bug 0.25x', 'Grass 0.25x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x']","['Rock 4x', 'Electric 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/7/7e/006Charizard.png/250px-006Charizard.png,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"['Blaze (Charizard)', 'Solar Power (Hidden Ability)', 'Tough Claws (Mega Charizard X)', 'Drought (Mega Charizard Y)']",
#007,Squirtle,Zenigame,Tiny Turtle Pokémon,"['HP: 44', 'Attack: 48', 'Defense: 65', 'Sp.Atk: 50', 'Sp.Def: 64', 'Speed: 43', 'Total: 314']",Water,"['Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Grass 2x', 'Electric 2x']",https://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/250px-007Squirtle.png,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","['Torrent', 'Rain Dish (Hidden Ability)']",
#008,Wartortle,Kameil,Turtle Pokémon,"['HP: 59', 'Attack: 63', 'Defense: 80', 'Sp.Atk: 65', 'Sp.Def: 80', 'Speed: 58', 'Total: 405']",Water,"['Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Grass 2x', 'Electric 2x']",https://cdn.bulbagarden.net/upload/thumb/0/0c/008Wartortle.png/250px-008Wartortle.png,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","['Torrent', 'Rain Dish (Hidden Ability)']",
#009,Blastoise,Kamex,Shellfish Pokémon,"['HP: 79', 'Attack: 83', 'Defense: 100', 'Sp.Atk: 85', 'Sp.Def: 105', 'Speed: 78', 'Total: 530']",Water,"['Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Grass 2x', 'Electric 2x']",https://cdn.bulbagarden.net/upload/thumb/0/02/009Blastoise.png/250px-009Blastoise.png,A brutal Pokémon with pressurized water jets on its shell. They are used for high speed tackles.,"['Torrent (Blastoise)', 'Rain Dish (Hidden Ability)', 'Mega Launcher (Mega Blastoise)']",
#010,Caterpie,Caterpie,Worm Pokémon,"['HP: 45', 'Attack: 30', 'Defense: 35', 'Sp.Atk: 20', 'Sp.Def: 20', 'Speed: 45', 'Total: 195']",Bug,"['Ground 0.5x', 'Fighting 0.5x', 'Grass 0.5x']","['Flying 2x', 'Rock 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,"['Shield Dust', 'Run Away (Hidden Ability)']",
#011,Metapod,Trancell,Cocoon Pokémon,"['HP: 50', 'Attack: 20', 'Defense: 55', 'Sp.Atk: 25', 'Sp.Def: 25', 'Speed: 30', 'Total: 205']",Bug,"['Ground 0.5x', 'Fighting 0.5x', 'Grass 0.5x']","['Flying 2x', 'Rock 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/c/cd/011Metapod.png/250px-011Metapod.png,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.",['Shed Skin'],
#012,Butterfree,Butterfree,Butterfly Pokémon,"['HP: 60', 'Attack: 45', 'Defense: 50', 'Sp.Atk: 80', 'Sp.Def: 80', 'Speed: 70', 'Total: 385']",Bug/Flying,"['Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x']","['Flying 2x', 'Rock 4x', 'Electric 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/d/d1/012Butterfree.png/250px-012Butterfree.png,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.","['Compound Eyes', 'Tinted Lens (Hidden Ability)']",
#013,Weedle,Beedle,Hairy Bug Pokémon,"['HP: 40', 'Attack: 35', 'Defense: 30', 'Sp.Atk: 20', 'Sp.Def: 20', 'Speed: 50', 'Total: 195']",Bug/Poison,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x']","['Flying 2x', 'Rock 2x', 'Psychic 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/d/df/013Weedle.png/250px-013Weedle.png,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.","['Shield Dust', 'Run Away (Hidden Ability)']",
#014,Kakuna,Cocoon,Cocoon Pokémon,"['HP: 45', 'Attack: 25', 'Defense: 50', 'Sp.Atk: 25', 'Sp.Def: 25', 'Speed: 35', 'Total: 205']",Bug/Poison,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x']","['Flying 2x', 'Rock 2x', 'Psychic 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/250px-014Kakuna.png,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators.",['Shed Skin'],
#015,Beedrill,Spear,Poison Bee Pokémon,"['HP: 65', 'Attack: 80', 'Defense: 40', 'Sp.Atk: 45', 'Sp.Def: 80', 'Speed: 75', 'Total: 385']",Bug/Poison,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x']","['Flying 2x', 'Rock 2x', 'Psychic 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/250px-015Beedrill.png,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,"['Swarm (Beedrill)', 'Sniper (Hidden Ability)', 'Adaptability (Mega Beedrill)']",
#016,Pidgey,Poppo,Tiny Bird Pokémon,"['HP: 40', 'Attack: 45', 'Defense: 40', 'Sp.Atk: 35', 'Sp.Def: 35', 'Speed: 56', 'Total: 251']",Normal/Flying,"['Bug 0.5x', 'Grass 0.5x']","['Rock 2x', 'Electric 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/250px-016Pidgey.png,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,"['Keen Eye or Tangled Feet', 'Big Pecks (Hidden Ability)']",
#017,Pidgeotto,Pigeon,Bird Pokémon,"['HP: 63', 'Attack: 60', 'Defense: 55', 'Sp.Atk: 50', 'Sp.Def: 50', 'Speed: 71', 'Total: 349']",Normal/Flying,"['Bug 0.5x', 'Grass 0.5x']","['Rock 2x', 'Electric 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/250px-017Pidgeotto.png,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder.","['Keen Eye or Tangled Feet', 'Big Pecks (Hidden Ability)']",
#018,Pidgeot,Pigeot,Bird Pokémon,"['HP: 83', 'Attack: 80', 'Defense: 75', 'Sp.Atk: 70', 'Sp.Def: 70', 'Speed: 91', 'Total: 469']",Normal/Flying,"['Bug 0.5x', 'Grass 0.5x']","['Rock 2x', 'Electric 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/250px-018Pidgeot.png,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.","['Keen Eye or Tangled Feet (Pidgeot)', 'Big Pecks (Hidden Ability)', 'No Guard (Mega Pidgeot)']",
#019,Rattata,Koratta,Mouse Pokémon,"['HP: 30', 'Attack: 56', 'Defense: 35', 'Sp.Atk: 25', 'Sp.Def: 35', 'Speed: 72', 'Total: 253']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/250px-019Rattata.png,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.","['Run Away or Guts (Rattata)', 'Gluttony or Hustle (Alolan Rattata)', 'Hustle (Rattata Hidden Ability)', 'Thick Fat (Alolan Rattata Hidden Ability)']",
#020,Raticate,Ratta,Mouse Pokémon,"['HP: 55', 'Attack: 81', 'Defense: 60', 'Sp.Atk: 50', 'Sp.Def: 70', 'Speed: 97', 'Total: 413']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.,"['Run Away or Guts (Raticate)', 'Gluttony or Hustle (Alolan Raticate)', 'Hustle (Raticate Hidden Ability)', 'Thick Fat (Alolan Raticate Hidden Ability)']",
#021,Spearow,Onisuzume,Tiny Bird Pokémon,"['HP: 40', 'Attack: 60', 'Defense: 30', 'Sp.Atk: 31', 'Sp.Def: 31', 'Speed: 70', 'Total: 262']",Normal/Flying,"['Bug 0.5x', 'Grass 0.5x']","['Rock 2x', 'Electric 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,"['Keen Eye', 'Sniper (Hidden Ability)']",
#022,Fearow,Onidrill,Beak Pokémon,"['HP: 65', 'Attack: 90', 'Defense: 65', 'Sp.Atk: 61', 'Sp.Def: 61', 'Speed: 100', 'Total: 442']",Normal/Flying,"['Bug 0.5x', 'Grass 0.5x']","['Rock 2x', 'Electric 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.","['Keen Eye', 'Sniper (Hidden Ability)']",
#023,Ekans,Arbo,Snake Pokémon,"['HP: 35', 'Attack: 60', 'Defense: 44', 'Sp.Atk: 40', 'Sp.Def: 54', 'Speed: 55', 'Total: 288']",Poison,"['Poison 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x']","['Ground 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png,"Moves silently and stealthily. Eats the eggs of birds, such as Pidgey and Spearow, whole.","['Intimidate or Shed Skin', 'Unnerve (Hidden Ability)']",
